"","run","seed_percent","pollinator_species","pol.bm","pol.soc","pl.no.vis"
"236",1115782484,0.486232661347393,4,5.247,1,5
"237",1115782484,0.486232661347393,5,6.746,2,5
"238",1115782484,0.486232661347393,6,1.764,2,4
"239",1115782484,0.486232661347393,7,3.984,3,5
"240",1115782484,0.486232661347393,8,7.691,3,4
"241",1116275696,0.000463210786596499,1,4.353,0,1
"242",1116275696,0.000463210786596499,2,4.09,0,3
"243",1116275696,0.000463210786596499,3,1.667,1,1
"244",1116275696,0.000463210786596499,4,7.447,1,2
"245",1116275696,0.000463210786596499,5,7.311,2,2
"246",1116275696,0.000463210786596499,6,5.823,2,2
"247",1116275696,0.000463210786596499,7,1.552,3,1
"248",1116275696,0.000463210786596499,8,6.078,3,1
"249",1117203214,2.75089418538509e-05,1,6.431,0,6
"250",1117203214,2.75089418538509e-05,2,6.635,0,6
"251",1117203214,2.75089418538509e-05,3,1.567,1,2
"252",1117203214,2.75089418538509e-05,4,7.112,1,5
"253",1117203214,2.75089418538509e-05,5,3.735,2,2
"254",1117203214,2.75089418538509e-05,6,1.219,2,2
"255",1117203214,2.75089418538509e-05,7,4.853,3,6
"256",1117203214,2.75089418538509e-05,8,7.301,3,6
"257",1120243901,0.38180323856955,1,5.087,0,6
"258",1120243901,0.38180323856955,2,6.501,0,6
"259",1120243901,0.38180323856955,3,5.19,1,6
"260",1120243901,0.38180323856955,4,7.578,1,6
"261",1120243901,0.38180323856955,5,4.635,2,6
"262",1120243901,0.38180323856955,6,4.714,2,6
"263",1120243901,0.38180323856955,7,6.953,3,6
"264",1120243901,0.38180323856955,8,4.295,3,6
"265",1122345807,0.0014718290457299,1,7.375,0,2
"266",1122345807,0.0014718290457299,2,3.32,0,1
"267",1122345807,0.0014718290457299,3,4.397,1,1
"268",1122345807,0.0014718290457299,4,3.441,1,1
"269",1122345807,0.0014718290457299,5,5.149,2,2
"270",1122345807,0.0014718290457299,6,3.02,2,1
"271",1122345807,0.0014718290457299,7,2.842,3,2
"272",1122345807,0.0014718290457299,8,5.064,3,2
"273",1123264010,0.0867430162063672,1,4.944,0,4
"274",1123264010,0.0867430162063672,2,6.847,0,5
"275",1123264010,0.0867430162063672,3,4.475,1,2
"276",1123264010,0.0867430162063672,4,1.215,1,2
"277",1123264010,0.0867430162063672,5,4.495,2,2
"278",1123264010,0.0867430162063672,6,5.861,2,4
"279",1123264010,0.0867430162063672,7,2.041,3,3
"280",1123264010,0.0867430162063672,8,5.817,3,3
"281",1125840860,1.8498916456791e-05,2,2.138,0,1
"282",1125840860,1.8498916456791e-05,3,4.927,1,1
"283",1125840860,1.8498916456791e-05,4,7.001,1,1
"284",1125840860,1.8498916456791e-05,5,2.867,2,1
"285",1125840860,1.8498916456791e-05,6,6.802,2,1
"286",1125840860,1.8498916456791e-05,7,5.178,3,2
"287",1125840860,1.8498916456791e-05,8,2.064,3,1
"288",1138261168,0.00334142838373192,2,2.368,0,2
"289",1138261168,0.00334142838373192,3,5.998,1,1
"290",1138261168,0.00334142838373192,4,2.694,1,1
"291",1138261168,0.00334142838373192,5,6.503,2,2
"292",1138261168,0.00334142838373192,6,7.384,2,1
"293",1138261168,0.00334142838373192,7,4.435,3,1
"294",1138261168,0.00334142838373192,8,6.308,3,2
"295",1147312509,0.000836769206677265,1,7.358,0,4
"296",1147312509,0.000836769206677265,2,3.025,0,3
"297",1147312509,0.000836769206677265,3,3.926,1,2
"298",1147312509,0.000836769206677265,4,5.81,1,3
"299",1147312509,0.000836769206677265,5,1.372,2,1
"300",1147312509,0.000836769206677265,6,3.848,2,3
"301",1147312509,0.000836769206677265,7,3.695,3,2
"302",1147312509,0.000836769206677265,8,7.523,3,4
"303",1148735686,0.481900803975557,1,5.173,0,4
"304",1148735686,0.481900803975557,2,2.498,0,3
"305",1148735686,0.481900803975557,3,7.677,1,5
"306",1148735686,0.481900803975557,4,5.708,1,4
"307",1148735686,0.481900803975557,5,1.119,2,4
"308",1148735686,0.481900803975557,6,2.078,2,6
"309",1148735686,0.481900803975557,7,2.617,3,5
"310",1148735686,0.481900803975557,8,5.567,3,6
"311",1150302692,0.0716561876317368,1,4.19,0,3
"312",1150302692,0.0716561876317368,2,2.981,0,4
"313",1150302692,0.0716561876317368,3,1.648,1,5
"314",1150302692,0.0716561876317368,4,3.717,1,3
"315",1150302692,0.0716561876317368,5,4.809,2,4
"316",1150302692,0.0716561876317368,6,2.829,2,4
"317",1150302692,0.0716561876317368,7,4.623,3,2
"318",1150302692,0.0716561876317368,8,3.383,3,3
"319",1150858896,1.62809357483232e-05,1,2.786,0,2
"320",1150858896,1.62809357483232e-05,2,6.423,0,2
"321",1150858896,1.62809357483232e-05,3,4.177,1,3
"322",1150858896,1.62809357483232e-05,5,3.085,2,2
"323",1150858896,1.62809357483232e-05,6,7.624,2,1
"324",1150858896,1.62809357483232e-05,7,4.745,3,1
"325",1150858896,1.62809357483232e-05,8,1.534,3,3
"326",1152541283,0.950437194631073,1,2.698,0,5
"327",1152541283,0.950437194631073,2,5.004,0,5
"328",1152541283,0.950437194631073,3,7.633,1,4
"329",1152541283,0.950437194631073,4,5.09,1,5
"330",1152541283,0.950437194631073,5,5.891,2,5
"331",1152541283,0.950437194631073,6,5.016,2,4
"332",1152541283,0.950437194631073,7,4.37,3,4
"333",1152541283,0.950437194631073,8,3.483,3,4
"334",1161608023,0.000258362379359067,1,6.283,0,5
"335",1161608023,0.000258362379359067,2,6.081,0,2
"336",1161608023,0.000258362379359067,3,4.325,1,5
"337",1161608023,0.000258362379359067,4,6.635,1,4
"338",1161608023,0.000258362379359067,5,4.73,2,4
"339",1161608023,0.000258362379359067,6,7.236,2,4
"340",1161608023,0.000258362379359067,7,6.417,3,4
"341",1161608023,0.000258362379359067,8,5.8,3,5
"342",1165442523,0.0884370178120444,1,4.197,0,5
"343",1165442523,0.0884370178120444,2,2.487,0,3
"344",1165442523,0.0884370178120444,3,3.198,1,5
"345",1165442523,0.0884370178120444,4,7.224,1,5
"346",1165442523,0.0884370178120444,5,1.724,2,3
"347",1165442523,0.0884370178120444,6,7.968,2,3
"348",1165442523,0.0884370178120444,7,5.688,3,4
"349",1165442523,0.0884370178120444,8,1.834,3,5
"350",1167269675,0.593754283286688,1,1.647,0,5
"351",1167269675,0.593754283286688,2,2.617,0,6
"352",1167269675,0.593754283286688,3,4.089,1,6
"353",1167269675,0.593754283286688,4,4.409,1,6
"354",1167269675,0.593754283286688,5,6.34,2,6
"355",1167269675,0.593754283286688,6,6.718,2,6
"356",1167269675,0.593754283286688,7,7.746,3,6
"357",1167269675,0.593754283286688,8,3.317,3,6
"358",1167632595,0.000289161688762458,1,6.902,0,5
"359",1167632595,0.000289161688762458,2,6.848,0,5
"360",1167632595,0.000289161688762458,3,3.102,1,4
"361",1167632595,0.000289161688762458,4,7.164,1,4
"362",1167632595,0.000289161688762458,5,6.334,2,4
"363",1167632595,0.000289161688762458,6,1.214,2,3
"364",1167632595,0.000289161688762458,7,4.997,3,6
"365",1167632595,0.000289161688762458,8,1.021,3,4
"366",1171298340,0.000237125810180344,1,5.433,0,6
"367",1171298340,0.000237125810180344,2,6.088,0,6
"368",1171298340,0.000237125810180344,3,2.974,1,4
"369",1171298340,0.000237125810180344,4,1.226,1,4
"370",1171298340,0.000237125810180344,5,2.554,2,4
"371",1171298340,0.000237125810180344,6,2.231,2,2
"372",1171298340,0.000237125810180344,7,3.215,3,6
"373",1171298340,0.000237125810180344,8,1.369,3,4
"374",1171662638,0.000266962935332565,1,7.812,0,4
"375",1171662638,0.000266962935332565,2,2.091,0,3
"376",1171662638,0.000266962935332565,3,7.309,1,5
"377",1171662638,0.000266962935332565,4,1.719,1,3
"378",1171662638,0.000266962935332565,5,1.815,2,2
"379",1171662638,0.000266962935332565,6,1.815,2,3
"380",1171662638,0.000266962935332565,7,3.718,3,5
"381",1171662638,0.000266962935332565,8,7.93,3,6
"382",1178114813,0.000776440090954881,1,7.007,0,5
"383",1178114813,0.000776440090954881,2,3.739,0,4
"384",1178114813,0.000776440090954881,3,1.427,1,5
"385",1178114813,0.000776440090954881,4,3.515,1,3
"386",1178114813,0.000776440090954881,5,3.004,2,4
"387",1178114813,0.000776440090954881,6,1.839,2,3
"388",1178114813,0.000776440090954881,7,2.434,3,4
"389",1178114813,0.000776440090954881,8,7.879,3,4
"390",1178712897,0.994466124953597,1,3.213,0,1
"391",1178712897,0.994466124953597,2,2.976,0,1
"392",1178712897,0.994466124953597,3,3.717,1,1
"393",1178712897,0.994466124953597,4,1.937,1,1
"394",1178712897,0.994466124953597,5,1.669,2,1
"395",1178712897,0.994466124953597,6,6.336,2,1
"396",1178712897,0.994466124953597,7,5.965,3,1
"397",1178712897,0.994466124953597,8,5.597,3,1
"398",1183687769,0.611869786596428,1,1.378,0,1
"399",1183687769,0.611869786596428,2,6.063,0,3
"400",1183687769,0.611869786596428,3,7.601,1,3
"401",1183687769,0.611869786596428,4,5.56,1,2
"402",1183687769,0.611869786596428,5,7.201,2,1
"403",1183687769,0.611869786596428,6,6.234,2,1
"404",1183687769,0.611869786596428,7,6.44,3,4
"405",1183687769,0.611869786596428,8,1.696,3,3
"406",1186173812,0.098370239405006,1,3.309,0,5
"407",1186173812,0.098370239405006,2,1.456,0,3
"408",1186173812,0.098370239405006,3,2.016,1,6
"409",1186173812,0.098370239405006,4,3.816,1,2
"410",1186173812,0.098370239405006,5,7.17,2,5
"411",1186173812,0.098370239405006,6,1.927,2,2
"412",1186173812,0.098370239405006,7,5.28,3,5
"413",1186173812,0.098370239405006,8,3.038,3,3
"414",1186630033,9.94881111684005e-05,1,5.504,0,3
"415",1186630033,9.94881111684005e-05,2,4.43,0,6
"416",1186630033,9.94881111684005e-05,3,2.587,1,2
"417",1186630033,9.94881111684005e-05,4,4.931,1,5
"418",1186630033,9.94881111684005e-05,5,3.928,2,3
"419",1186630033,9.94881111684005e-05,6,4.868,2,4
"420",1186630033,9.94881111684005e-05,7,1.45,3,2
"421",1186630033,9.94881111684005e-05,8,4.626,3,3
"422",1190619027,0.367209394880668,1,5.179,0,4
